algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
bits (ascending data),uniform,ascending,14,16777216,64,1,512,512,"1,1,1",1,selection,0.022960713,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,512,"1,1,1",1,selection,0.022942675,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,512,"1,1,1",1,selection,0.022954373,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,512,"1,1,1",1,selection,0.022942005,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,512,"1,1,1",1,selection,0.022964509,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,512,"1,1,1",1,selection,0.022965801,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.099441405,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.099370787,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.099420684,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.099399301,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.099417148,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.099428385,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.099384348,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.09945781,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.099370617,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.099494616,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.02327388,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.023269303,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.023307561,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.023282704,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.02330664,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.023294281,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.023311868,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.023281502,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.023278627,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.02327392,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.097608764,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.097538827,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.097630447,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.097533398,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.097696367,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.09752139000000001,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.097699843,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.097523534,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.097716507,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.097494319,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.023018371,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.023001314,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.023016858,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.023000172,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.023054135,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.023028447,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.023027394,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.023028676,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.023023108,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.022996768,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,10,4194304,256,1,256,32,"1,1,1",1,selection,0.059352794,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,4194304,256,1,256,32,"1,1,1",1,selection,0.059339353,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,4194304,256,1,256,32,"1,1,1",1,selection,0.059356699,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,4194304,256,1,256,32,"1,1,1",1,selection,0.059337861,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,4194304,256,1,256,32,"1,1,1",1,selection,0.059336239,hopper01,108407,ascending
