algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.125988073,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.125992379,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.126020833,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.125990858,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.125957256,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.126002746,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.12597952,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,256,"1,1,1",1,selection,0.021216145,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,256,"1,1,1",1,selection,0.021214813,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,256,"1,1,1",1,selection,0.021205639,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,256,"1,1,1",1,selection,0.021218569,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,256,"1,1,1",1,selection,0.021210256,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,256,"1,1,1",1,selection,0.021221723,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,256,"1,1,1",1,selection,0.021225218,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,256,"1,1,1",1,selection,0.021227042,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,256,"1,1,1",1,selection,0.021210857,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.021201252,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,512,"1,1,1",1,selection,0.114726879,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,512,"1,1,1",1,selection,0.114699798,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,512,"1,1,1",1,selection,0.114680979,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,512,"1,1,1",1,selection,0.114687889,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,512,"1,1,1",1,selection,0.11468838,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,512,"1,1,1",1,selection,0.114696383,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,512,"1,1,1",1,selection,0.114697554,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,512,"1,1,1",1,selection,0.114695581,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,512,"1,1,1",1,selection,0.114674449,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,512,"1,1,1",1,selection,0.11467544,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,512,"1,1,1",1,selection,0.021259632,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,512,"1,1,1",1,selection,0.02124525,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,512,"1,1,1",1,selection,0.021255095,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,512,"1,1,1",1,selection,0.021247012,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,512,"1,1,1",1,selection,0.021260542,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,512,"1,1,1",1,selection,0.021255235,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,512,"1,1,1",1,selection,0.021261254,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,512,"1,1,1",1,selection,0.021254804,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,512,"1,1,1",1,selection,0.021259992,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,512,"1,1,1",1,selection,0.021267223,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.098865245,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.098863422,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.098857523,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.098876251,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.098863703,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.098852115,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.09884888,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.098861009,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.098864383,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.09887528,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.021883865,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.021860949,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.021873668,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.021859748,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.021866968,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.021847058,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.021874841,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.021866137,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.021873499,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.021859246,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.09696149,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.096954489,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.096966577,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.096963202,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.0969486,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.096935981,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.096957824,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.096963422,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.096949141,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.096959196,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.023361499,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.023387769,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.023369831,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.023384304,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.023374208,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.023374879,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.023380067,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
