algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
bits (random data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.011743817,volta05,108414,random
bits (random data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.011762812,volta05,108414,random
bits (random data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.011791325,volta05,108414,random
bits (random data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.01176923,volta05,108414,random
bits (random data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.011783828,volta05,108414,random
bits (random data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.011754302,volta05,108414,random
bits (random data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.011737755,volta05,108414,random
bits (random data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.011765829,volta05,108414,random
bits (random data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.011753274,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.06877143,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.068788832,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.068766004,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.068788913,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.068787653,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.068790677,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.068784315,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.068776087,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.06879044,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.068778037,volta05,108414,random
bits (random data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.011737544,volta05,108414,random
bits (random data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.011777643,volta05,108414,random
bits (random data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.011759142,volta05,108414,random
bits (random data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.011768349,volta05,108414,random
bits (random data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.011800642,volta05,108414,random
bits (random data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.011762729,volta05,108414,random
bits (random data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.01177918,volta05,108414,random
bits (random data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.011777679,volta05,108414,random
bits (random data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.011771726,volta05,108414,random
bits (random data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.011794765,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,128,"1,1,1",1,selection,0.0687711,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,128,"1,1,1",1,selection,0.068785952,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,128,"1,1,1",1,selection,0.068776976,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,128,"1,1,1",1,selection,0.068795845,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,128,"1,1,1",1,selection,0.068780835,volta05,108414,random
