k,query_count,point_count,algorithm,dim,time,throughput
32,8192,131072,raftL2-fused,8,0.006885092599999999,155951689596.73834
32,8192,131072,raftL2-fused,16,0.0071060323,151102862845.13513
64,1024,1048576,bits + MAGMA,4,0.0074606455,143920767177.5854
64,1024,1048576,bits + MAGMA,8,0.007509561100000001,142983299516.66547
64,1024,1048576,bits + MAGMA,16,0.007717579400000001,139129352397.72202
64,1024,1048576,bits + zero computation,4,0.004781816283611918,224546858414.42557
64,1024,1048576,bits + zero computation,8,0.004779421404691537,224659374656.94116
64,1024,1048576,bits + zero computation,16,0.004811660646850775,223154104748.17307
64,1024,1048576,bits-fused,4,0.0035119386000000002,305740488743.16876
64,1024,1048576,bits-fused,8,0.0052623037,204044062299.17896
64,1024,1048576,bits-fused,16,0.0082463321,130208413992.93147
64,1024,1048576,raftL2-fused,4,0.0146131487,73477786755.15701
64,1024,1048576,raftL2-fused,8,0.014637247,73356815253.57877
64,1024,1048576,raftL2-fused,16,0.014680176999999999,73142294129.01494
64,2048,524288,bits + MAGMA,4,0.0073195378,146695304176.17352
64,2048,524288,bits + MAGMA,8,0.0074202995,144703299913.97247
64,2048,524288,bits + MAGMA,16,0.0076316799000000005,140695343367.32336
64,2048,524288,bits + zero computation,4,0.004709689601590762,227985687981.92752
64,2048,524288,bits + zero computation,8,0.004722143540649224,227384410227.47406
64,2048,524288,bits + zero computation,16,0.00473583141876615,226727205648.66464
64,2048,524288,bits-fused,4,0.002970406,361479819257.0308
64,2048,524288,bits-fused,8,0.0041025853,261723217308.85156
64,2048,524288,bits-fused,16,0.0063733022,168474958554.45236
64,2048,524288,raftL2-fused,4,0.014631360099999999,73386330229.13571
64,2048,524288,raftL2-fused,8,0.0145993013,73547480248.24995
64,2048,524288,raftL2-fused,16,0.014608000399999998,73503682543.71078
64,4096,262144,bits + MAGMA,4,0.007217764999999999,148763754985.09583
64,4096,262144,bits + MAGMA,8,0.0073056376,146974416579.32773
64,4096,262144,bits + MAGMA,16,0.0075038208999999995,143092677491.80954
64,4096,262144,bits + zero computation,4,0.004711960339098837,227875819558.6496
64,4096,262144,bits + zero computation,8,0.004714774515665375,227739803978.4025
64,4096,262144,bits + zero computation,16,0.004729937768798449,227009714817.61453
64,4096,262144,bits-fused,4,0.0025097948,427820562860.35815
64,4096,262144,bits-fused,8,0.003419229,314030392231.699
64,4096,262144,bits-fused,16,0.005109446,210148384775.962
64,4096,262144,raftL2-fused,4,0.0145144228,73977576566.1174
64,4096,262144,raftL2-fused,8,0.014545432799999999,73819860760.69185
64,4096,262144,raftL2-fused,16,0.014495749899999999,74072871800.858
64,8192,131072,bits + MAGMA,4,0.0070011243,153367056202.67307
64,8192,131072,bits + MAGMA,8,0.0070345664,152637954202.83475
64,8192,131072,bits + MAGMA,16,0.007503900500000001,143091159590.9354
64,8192,131072,bits + zero computation,4,0.00472820631489018,227092845043.2771
64,8192,131072,bits + zero computation,8,0.004725183767248062,227238109011.22797
64,8192,131072,bits + zero computation,16,0.004766630171963824,225262247177.36484
64,8192,131072,bits-fused,4,0.0023192841,462962611609.3324
