algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
bits (random data),uniform,identity,19,16777216,64,1,512,256,"1,1,1",1,selection,0.02135324,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,512,"1,1,1",1,selection,0.09357049,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,512,"1,1,1",1,selection,0.09361245,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,512,"1,1,1",1,selection,0.091573921,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,512,"1,1,1",1,selection,0.091514352,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,512,"1,1,1",1,selection,0.091878977,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,512,"1,1,1",1,selection,0.0935058,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,512,"1,1,1",1,selection,0.091561481,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,512,"1,1,1",1,selection,0.091583011,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,512,"1,1,1",1,selection,0.093638519,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,512,"1,1,1",1,selection,0.091907898,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,512,"1,1,1",1,selection,0.021409319,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,512,"1,1,1",1,selection,0.021032173,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,512,"1,1,1",1,selection,0.021282959,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,512,"1,1,1",1,selection,0.021386999,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,512,"1,1,1",1,selection,0.021386309,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,512,"1,1,1",1,selection,0.021349329,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,512,"1,1,1",1,selection,0.021237101,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,512,"1,1,1",1,selection,0.021401729,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,512,"1,1,1",1,selection,0.021398159,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,512,"1,1,1",1,selection,0.021412478,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,1024,"1,1,1",1,selection,0.087226828,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,1024,"1,1,1",1,selection,0.087344347,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,1024,"1,1,1",1,selection,0.085845973,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,1024,"1,1,1",1,selection,0.08734217699999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,1024,"1,1,1",1,selection,0.085733424,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,1024,"1,1,1",1,selection,0.08592591199999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,1024,"1,1,1",1,selection,0.08580615299999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,1024,"1,1,1",1,selection,0.08585759299999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,1024,"1,1,1",1,selection,0.085940972,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,1024,"1,1,1",1,selection,0.085797444,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,1024,"1,1,1",1,selection,0.021489968,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,1024,"1,1,1",1,selection,0.021413759,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,1024,"1,1,1",1,selection,0.021085452,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,1024,"1,1,1",1,selection,0.02135017,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,1024,"1,1,1",1,selection,0.021467078,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,1024,"1,1,1",1,selection,0.021461298,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,1024,"1,1,1",1,selection,0.021077872,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,1024,"1,1,1",1,selection,0.02130853,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,1024,"1,1,1",1,selection,0.021457569,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,1024,"1,1,1",1,selection,0.021456748,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,256,2048,"1,1,1",1,selection,0.083886044,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,256,2048,"1,1,1",1,selection,0.081795036,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,256,2048,"1,1,1",1,selection,0.083696316,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,256,2048,"1,1,1",1,selection,0.08235823,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,256,2048,"1,1,1",1,selection,0.083877174,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,256,2048,"1,1,1",1,selection,0.081555269,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,256,2048,"1,1,1",1,selection,0.08395037399999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,256,2048,"1,1,1",1,selection,0.082294622,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,256,2048,"1,1,1",1,selection,0.08337264899999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,256,2048,"1,1,1",1,selection,0.08124157299999998,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,2048,"1,1,1",1,selection,0.030713648,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,2048,"1,1,1",1,selection,0.030915357,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,2048,"1,1,1",1,selection,0.030911746,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,2048,"1,1,1",1,selection,0.030970265,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,2048,"1,1,1",1,selection,0.030951476,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,2048,"1,1,1",1,selection,0.030688368,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,2048,"1,1,1",1,selection,0.030384161,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,2048,"1,1,1",1,selection,0.030943966,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,2048,"1,1,1",1,selection,0.030366872,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,2048,"1,1,1",1,selection,0.029974007,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.037201219,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.037201078,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.037198398,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.037192738,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.037190898,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.037200359,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.037196668,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.037190269,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.037184598,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.037193459,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,4194304,256,1,256,32,"1,1,1",1,selection,0.009831634,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.009835063,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.009840813,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.009722745,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.009664916,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.009656916,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.009677416,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.009665996,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.009668435,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.009658286,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.037207699,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.037193959,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.037179888,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.037203269,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.037183089,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.037193518,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.037177308,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.037197818,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.037208548,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.037188588,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,4194304,256,1,512,64,"1,1,1",1,selection,0.005458301,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,4194304,256,1,512,64,"1,1,1",1,selection,0.005458861,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,4194304,256,1,512,64,"1,1,1",1,selection,0.005470941,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,4194304,256,1,512,64,"1,1,1",1,selection,0.005461691,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,14,4194304,256,1,512,64,"1,1,1",1,selection,0.005462521,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,15,4194304,256,1,512,64,"1,1,1",1,selection,0.005455021,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,16,4194304,256,1,512,64,"1,1,1",1,selection,0.005457301,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,17,4194304,256,1,512,64,"1,1,1",1,selection,0.005466271,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,18,4194304,256,1,512,64,"1,1,1",1,selection,0.005459571,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,19,4194304,256,1,512,64,"1,1,1",1,selection,0.005466891,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,128,"1,1,1",1,selection,0.037184769,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,128,"1,1,1",1,selection,0.037204849,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,128,"1,1,1",1,selection,0.037197508,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,128,"1,1,1",1,selection,0.037194288,bw01,35760910,data/buffer-bw01-35760910.csv,random
