k,query_count,point_count,algorithm,dim,time,throughput
32,2048,524288,raftL2-fused,8,0.006656498499999999,161307303532.02966
32,2048,524288,raftL2-fused,16,0.0066941681,160399590802.0296
32,4096,262144,bits + MAGMA,4,0.0050856255000000005,211132696263.22266
32,4096,262144,bits + MAGMA,8,0.0053362611,201216133146.1086
32,4096,262144,bits + MAGMA,16,0.0055584518,193172822691.38324
32,4096,262144,bits + zero computation,4,0.004203463155299779,255442187627.17422
32,4096,262144,bits + zero computation,8,0.004209789556700589,255058313376.0117
32,4096,262144,bits + zero computation,16,0.004217341359502207,254601591967.58475
32,4096,262144,bits-fused,4,0.0019916821,539113056245.2713
32,4096,262144,bits-fused,8,0.0026384017,406966772345.5454
32,4096,262144,bits-fused,16,0.0039609286,271083357574.28195
32,4096,262144,raftL2-fused,4,0.0063551516,168956130645.2548
32,4096,262144,raftL2-fused,8,0.0063686943,168596854146.38287
32,4096,262144,raftL2-fused,16,0.006379290399999999,168316812164.56302
32,8192,131072,bits + MAGMA,4,0.0050488894,212668913682.28427
32,8192,131072,bits + MAGMA,8,0.0052948016,202791701203.68625
32,8192,131072,bits + MAGMA,16,0.005519404699999999,194539426326.17612
32,8192,131072,bits + zero computation,4,0.004205277305400932,255331990263.98788
32,8192,131072,bits + zero computation,8,0.004211334556902893,254964740865.81546
32,8192,131072,bits + zero computation,16,0.0042149976599068165,254743160171.46683
32,8192,131072,bits-fused,4,0.0017746339,605049764912.0757
32,8192,131072,bits-fused,8,0.0022824116,470441801119.48254
32,8192,131072,bits-fused,16,0.0032625243,329113816562.22455
32,8192,131072,raftL2-fused,4,0.005154908299999999,208295038730.3689
32,8192,131072,raftL2-fused,8,0.005150175,208486473566.43222
32,8192,131072,raftL2-fused,16,0.0053044926,202421212539.72528
64,1024,1048576,bits + MAGMA,4,0.0052234811,205560583726.43484
64,1024,1048576,bits + MAGMA,8,0.0054588282,196698226187.07803
64,1024,1048576,bits + MAGMA,16,0.0056812453,188997617124.54132
64,1024,1048576,bits + zero computation,4,0.004224020707498314,254198996253.48337
64,1024,1048576,bits + zero computation,8,0.004233674261097659,253619375932.2458
64,1024,1048576,bits + zero computation,16,0.0042484110682963466,252739625883.37308
64,1024,1048576,bits-fused,4,0.0027504891,390382141125.3729
64,1024,1048576,bits-fused,8,0.0038709600999999997,277383852135.2881
64,1024,1048576,bits-fused,16,0.006002846,178872125655.06427
64,1024,1048576,raftL2-fused,4,0.0108182595,99252733214.61739
