hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
ampere02,A100,tiled-dist,262144,4096,1,64,32,1,1,1,1,0.0392396521
ampere02,A100,tiled-dist,262144,4096,1,128,32,1,1,1,1,0.0766219124
ampere02,A100,tiled-dist,262144,4096,1,256,32,1,1,1,1,0.1471626664
ampere02,A100,tiled-dist,524288,2048,1,4,16,1,1,1,1,0.011638425800000001
ampere02,A100,tiled-dist,524288,2048,1,8,16,1,1,1,1,0.0121714124
ampere02,A100,tiled-dist,524288,2048,1,16,16,1,1,1,1,0.012533364
ampere02,A100,tiled-dist,524288,2048,1,32,32,1,1,1,1,0.0212118056
ampere02,A100,tiled-dist,524288,2048,1,64,32,1,1,1,1,0.0394707282
ampere02,A100,tiled-dist,524288,2048,1,128,32,1,1,1,1,0.0764763169
ampere02,A100,tiled-dist,524288,2048,1,256,32,1,1,1,1,0.14716044909999998
ampere02,A100,tiled-dist,1048576,1024,1,4,16,1,1,1,1,0.0114876823
ampere02,A100,tiled-dist,1048576,1024,1,8,16,1,1,1,1,0.012006033199999998
ampere02,A100,tiled-dist,1048576,1024,1,16,16,1,1,1,1,0.0124833237
ampere02,A100,tiled-dist,1048576,1024,1,32,32,1,1,1,1,0.0210081949
ampere02,A100,tiled-dist,1048576,1024,1,64,32,1,1,1,1,0.039252738999999995
ampere02,A100,tiled-dist,1048576,1024,1,128,32,1,1,1,1,0.07657073719999999
ampere02,A100,tiled-dist,1048576,1024,1,256,32,1,1,1,1,0.1473718143
hopper01,H100,baseline-dist,131072,8192,1,4,512,1,1,1,1,0.0056972242
hopper01,H100,baseline-dist,131072,8192,1,8,128,1,1,1,1,0.0081231238
hopper01,H100,baseline-dist,131072,8192,1,16,64,1,1,1,1,0.0131572878
hopper01,H100,baseline-dist,131072,8192,1,32,128,1,1,1,1,0.0228387204
hopper01,H100,baseline-dist,131072,8192,1,64,64,1,1,1,1,0.055003751499999996
hopper01,H100,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.1671966643
hopper01,H100,baseline-dist,131072,8192,1,256,64,1,1,1,1,0.3395467462
hopper01,H100,baseline-dist,262144,4096,1,4,128,1,1,1,1,0.0059019609
