hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown,category
ampere01,L40,tiled-dist,1048576,1024,1,4,8,1,1,1,1,0.0092872047,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,8,8,1,1,1,1,0.0094887362,1.0,other
ampere01,L40,tiled-dist,262144,4096,1,8,8,1,1,1,1,0.0095020606,1.0,other
ampere01,L40,tiled-dist,524288,2048,1,8,8,1,1,1,1,0.0095680739,1.0,other
ampere01,L40,tiled-dist,1048576,1024,1,8,8,1,1,1,1,0.0094881636,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,16,16,1,1,1,1,0.0117224406,1.0,other
ampere01,L40,tiled-dist,262144,4096,1,16,16,1,1,1,1,0.0120876843,1.0,other
ampere01,L40,tiled-dist,524288,2048,1,16,16,1,1,1,1,0.0121892152,1.0,other
ampere01,L40,tiled-dist,1048576,1024,1,16,16,1,1,1,1,0.0124052763,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,32,32,1,1,1,1,0.018713577000000002,1.0006649326549149,other
ampere01,L40,tiled-dist,262144,4096,1,32,32,1,1,1,1,0.018839149500000003,1.0,other
ampere01,L40,tiled-dist,524288,2048,1,32,32,1,1,1,1,0.0210213275,1.0,other
ampere01,L40,tiled-dist,1048576,1024,1,32,32,1,1,1,1,0.0205543747,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,64,32,1,1,1,1,0.0336484447,1.003041789552666,other
ampere01,L40,tiled-dist,262144,4096,1,64,32,1,1,1,1,0.0362526944,1.0447012659861383,other
ampere01,L40,tiled-dist,524288,2048,1,64,32,1,1,1,1,0.0379595591,1.0,other
ampere01,L40,tiled-dist,1048576,1024,1,64,32,1,1,1,1,0.037122310199999994,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,128,32,1,1,1,1,0.064418264,1.0,other
ampere01,L40,tiled-dist,262144,4096,1,128,32,1,1,1,1,0.07283447369999999,1.0,other
ampere01,L40,tiled-dist,524288,2048,1,128,32,1,1,1,1,0.07289946039999999,1.0,other
ampere01,L40,tiled-dist,1048576,1024,1,128,32,1,1,1,1,0.0716874655,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,256,32,1,1,1,1,0.14308121869999998,1.0,other
ampere01,L40,tiled-dist,262144,4096,1,256,32,1,1,1,1,0.144636455,1.0,other
ampere01,L40,tiled-dist,524288,2048,1,256,32,1,1,1,1,0.143263205,1.0,other
ampere01,L40,tiled-dist,1048576,1024,1,256,32,1,1,1,1,0.1413823158,1.0,other
ampere02,A100,baseline-dist,131072,8192,1,4,256,1,1,1,1,0.0076031219999999995,1.0032439503895842,other
ampere02,A100,baseline-dist,262144,4096,1,4,256,1,1,1,1,0.0077012809,1.0,other
ampere02,A100,baseline-dist,524288,2048,1,4,256,1,1,1,1,0.007805604799999999,1.0,other
ampere02,A100,baseline-dist,1048576,1024,1,4,256,1,1,1,1,0.0080718723,1.0020776059063627,other
ampere02,A100,baseline-dist,131072,8192,1,8,256,1,1,1,1,0.0106344616,1.0,other
ampere02,A100,baseline-dist,262144,4096,1,8,256,1,1,1,1,0.0108110795,1.005876467424668,other
ampere02,A100,baseline-dist,524288,2048,1,8,256,1,1,1,1,0.0112186996,1.0,other
ampere02,A100,baseline-dist,1048576,1024,1,8,256,1,1,1,1,0.023547728400000002,1.0,other
ampere02,A100,baseline-dist,131072,8192,1,16,256,1,1,1,1,0.016895804,1.0106628802737971,other
ampere02,A100,baseline-dist,262144,4096,1,16,256,1,1,1,1,0.0175016587,1.0062892175192102,other
ampere02,A100,baseline-dist,524288,2048,1,16,256,1,1,1,1,0.0420719438,1.0,other
ampere02,A100,baseline-dist,1048576,1024,1,16,256,1,1,1,1,0.0458681644,1.0,other
ampere02,A100,baseline-dist,131072,8192,1,32,512,1,1,1,1,0.0312177963,1.0353312939979495,other
ampere02,A100,baseline-dist,262144,4096,1,32,512,1,1,1,1,0.07536627269999999,1.0182250546812341,other
ampere02,A100,baseline-dist,524288,2048,1,32,512,1,1,1,1,0.09094571030000001,1.0144900282231946,other
ampere02,A100,baseline-dist,1048576,1024,1,32,512,1,1,1,1,0.09041687890000001,1.0132602239538615,other
ampere02,A100,baseline-dist,131072,8192,1,64,256,1,1,1,1,0.1277080189,1.0,other
ampere02,A100,baseline-dist,262144,4096,1,64,256,1,1,1,1,0.1744995924,1.0,other
ampere02,A100,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.1769516077,1.0,other
ampere02,A100,baseline-dist,1048576,1024,1,64,256,1,1,1,1,0.17446763910000002,1.0,other
ampere02,A100,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.3446827766,1.0,other
ampere02,A100,baseline-dist,262144,4096,1,128,256,1,1,1,1,0.34446077119999996,1.0,other
ampere02,A100,baseline-dist,524288,2048,1,128,256,1,1,1,1,0.3451149192,1.0,other
ampere02,A100,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.34467658430000003,1.0,other
ampere02,A100,baseline-dist,131072,8192,1,256,128,1,1,1,1,0.6811270149,1.0,other
ampere02,A100,baseline-dist,262144,4096,1,256,128,1,1,1,1,0.6791363358,1.0,other
ampere02,A100,baseline-dist,524288,2048,1,256,128,1,1,1,1,0.6805461987,1.0,other
ampere02,A100,baseline-dist,1048576,1024,1,256,128,1,1,1,1,0.6798282016,1.0,other
ampere02,A100,cublas-dist,131072,8192,1,4,512,1,1,1,1,0.011776878000000001,1.0000216955243322,other
ampere02,A100,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.0117678071,1.0003588531683838,other
ampere02,A100,cublas-dist,524288,2048,1,4,512,1,1,1,1,0.0118999678,1.0,other
ampere02,A100,cublas-dist,1048576,1024,1,4,512,1,1,1,1,0.0119047579,1.0000724552737585,other
ampere02,A100,cublas-dist,131072,8192,1,8,128,1,1,1,1,0.011787239599999999,1.0002915357334263,other
ampere02,A100,cublas-dist,262144,4096,1,8,128,1,1,1,1,0.0117702456,1.0,other
ampere02,A100,cublas-dist,524288,2048,1,8,128,1,1,1,1,0.0119086163,1.0,other
ampere02,A100,cublas-dist,1048576,1024,1,8,128,1,1,1,1,0.0119328324,1.0002217400280482,other
ampere02,A100,cublas-dist,131072,8192,1,16,256,1,1,1,1,0.0118797366,1.0002020991878633,other
ampere02,A100,cublas-dist,262144,4096,1,16,256,1,1,1,1,0.0118841706,1.0,other
ampere02,A100,cublas-dist,524288,2048,1,16,256,1,1,1,1,0.0120404103,1.000510791549658,other
ampere02,A100,cublas-dist,1048576,1024,1,16,256,1,1,1,1,0.012057329799999999,1.0,other
ampere02,A100,cublas-dist,131072,8192,1,32,64,1,1,1,1,0.0121999983,1.000341542888801,other
ampere02,A100,cublas-dist,262144,4096,1,32,64,1,1,1,1,0.0122024991,1.0005886520258103,other
ampere02,A100,cublas-dist,524288,2048,1,32,64,1,1,1,1,0.012366405899999999,1.0004029308886075,other
ampere02,A100,cublas-dist,1048576,1024,1,32,64,1,1,1,1,0.0124456187,1.000007006530818,other
ampere02,A100,cublas-dist,131072,8192,1,64,128,1,1,1,1,0.014546705400000002,1.0,other
ampere02,A100,cublas-dist,262144,4096,1,64,128,1,1,1,1,0.014677326,1.0,other
ampere02,A100,cublas-dist,524288,2048,1,64,128,1,1,1,1,0.0149416528,1.0011101512281637,other
ampere02,A100,cublas-dist,1048576,1024,1,64,128,1,1,1,1,0.014955578399999999,1.0,other
ampere02,A100,cublas-dist,131072,8192,1,128,512,1,1,1,1,0.0219680431,1.0,other
ampere02,A100,cublas-dist,262144,4096,1,128,512,1,1,1,1,0.0221104642,1.0,other
ampere02,A100,cublas-dist,524288,2048,1,128,512,1,1,1,1,0.022317716600000002,1.0,other
ampere02,A100,cublas-dist,1048576,1024,1,128,512,1,1,1,1,0.022503585700000002,1.0016773954074356,other
ampere02,A100,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0371535768,1.0,other
ampere02,A100,cublas-dist,262144,4096,1,256,64,1,1,1,1,0.037369807,1.0017185794655443,other
ampere02,A100,cublas-dist,524288,2048,1,256,64,1,1,1,1,0.0374342896,1.0010990074766064,other
ampere02,A100,cublas-dist,1048576,1024,1,256,64,1,1,1,1,0.0377046293,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,4,16,1,1,1,1,0.0107808338,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,4,16,1,1,1,1,0.011016667800000001,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,4,16,1,1,1,1,0.011638425800000001,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,4,16,1,1,1,1,0.0114876823,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,8,16,1,1,1,1,0.0110751919,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,8,16,1,1,1,1,0.011746559,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,8,16,1,1,1,1,0.0121714124,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,8,16,1,1,1,1,0.012006033199999998,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,16,16,1,1,1,1,0.0114785685,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,16,16,1,1,1,1,0.0124293802,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,16,16,1,1,1,1,0.012533364,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,16,16,1,1,1,1,0.0124833237,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,32,32,1,1,1,1,0.0209668347,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,32,32,1,1,1,1,0.0211483213,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,32,32,1,1,1,1,0.0212118056,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,32,32,1,1,1,1,0.0210081949,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,64,32,1,1,1,1,0.0392508372,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,64,32,1,1,1,1,0.0392396521,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,64,32,1,1,1,1,0.0394707282,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,64,32,1,1,1,1,0.039252738999999995,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,128,32,1,1,1,1,0.0762485676,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,128,32,1,1,1,1,0.0766219124,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,128,32,1,1,1,1,0.0764763169,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,128,32,1,1,1,1,0.07657073719999999,1.0,other
ampere02,A100,tiled-dist,131072,8192,1,256,32,1,1,1,1,0.147171502,1.0,other
ampere02,A100,tiled-dist,262144,4096,1,256,32,1,1,1,1,0.1471626664,1.0,other
ampere02,A100,tiled-dist,524288,2048,1,256,32,1,1,1,1,0.14716044909999998,1.0,other
ampere02,A100,tiled-dist,1048576,1024,1,256,32,1,1,1,1,0.1473718143,1.0,other
hopper01,H100,baseline-dist,131072,8192,1,4,128,1,1,1,1,0.0057350088,1.0066321069126962,other
hopper01,H100,baseline-dist,262144,4096,1,4,128,1,1,1,1,0.0059019609,1.0,other
hopper01,H100,baseline-dist,524288,2048,1,4,128,1,1,1,1,0.0060132853,1.0065093106230436,other
hopper01,H100,baseline-dist,1048576,1024,1,4,128,1,1,1,1,0.0061163214,1.0129364195864317,other
hopper01,H100,baseline-dist,131072,8192,1,8,128,1,1,1,1,0.0081231238,1.0,other
hopper01,H100,baseline-dist,262144,4096,1,8,128,1,1,1,1,0.008377258299999999,1.0,other
hopper01,H100,baseline-dist,524288,2048,1,8,128,1,1,1,1,0.0084552781,1.0,other
hopper01,H100,baseline-dist,1048576,1024,1,8,128,1,1,1,1,0.0129117504,1.0029634990586744,other
hopper01,H100,baseline-dist,131072,8192,1,16,128,1,1,1,1,0.0131894312,1.002443011089261,other
hopper01,H100,baseline-dist,262144,4096,1,16,128,1,1,1,1,0.013174592700000001,1.0,other
hopper01,H100,baseline-dist,524288,2048,1,16,128,1,1,1,1,0.016410901,1.0,other
hopper01,H100,baseline-dist,1048576,1024,1,16,128,1,1,1,1,0.0397180473,1.0016350200722068,other
hopper01,H100,baseline-dist,131072,8192,1,32,128,1,1,1,1,0.0228387204,1.0,other
hopper01,H100,baseline-dist,262144,4096,1,32,128,1,1,1,1,0.0271594603,1.0047339149252765,other
hopper01,H100,baseline-dist,524288,2048,1,32,128,1,1,1,1,0.0764217337,1.003534414774757,other
hopper01,H100,baseline-dist,1048576,1024,1,32,128,1,1,1,1,0.0764051808,1.0032401105868018,other
hopper01,H100,baseline-dist,131072,8192,1,64,64,1,1,1,1,0.055003751499999996,1.0,other
hopper01,H100,baseline-dist,262144,4096,1,64,64,1,1,1,1,0.1493325635,1.005235629376294,other
hopper01,H100,baseline-dist,524288,2048,1,64,64,1,1,1,1,0.1489497095,1.005415574397009,other
hopper01,H100,baseline-dist,1048576,1024,1,64,64,1,1,1,1,0.1492709935,1.005589194884988,other
hopper01,H100,baseline-dist,131072,8192,1,128,512,1,1,1,1,0.1672036529,1.0000417986807886,other
hopper01,H100,baseline-dist,262144,4096,1,128,512,1,1,1,1,0.29126662589999996,1.0,other
hopper01,H100,baseline-dist,524288,2048,1,128,512,1,1,1,1,0.2911475764,1.0,other
hopper01,H100,baseline-dist,1048576,1024,1,128,512,1,1,1,1,0.2911040424,1.0000484022201892,other
hopper01,H100,baseline-dist,131072,8192,1,256,64,1,1,1,1,0.3395467462,1.0,other
hopper01,H100,baseline-dist,262144,4096,1,256,64,1,1,1,1,0.5754717038,1.0021170744095709,other
hopper01,H100,baseline-dist,524288,2048,1,256,64,1,1,1,1,0.5751271628000001,1.002412087837541,other
hopper01,H100,baseline-dist,1048576,1024,1,256,64,1,1,1,1,0.5755480900000001,1.0027231722406984,other
hopper01,H100,cublas-dist,131072,8192,1,4,512,1,1,1,1,0.0100619708,1.0001830891053494,other
hopper01,H100,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.0101205015,1.0,other
hopper01,H100,cublas-dist,524288,2048,1,4,512,1,1,1,1,0.0102948,1.0001292081290372,other
hopper01,H100,cublas-dist,1048576,1024,1,4,512,1,1,1,1,0.01039054,1.0001810532025255,other
hopper01,H100,cublas-dist,131072,8192,1,8,512,1,1,1,1,0.0101022653,1.0004169713994517,other
hopper01,H100,cublas-dist,262144,4096,1,8,512,1,1,1,1,0.0101620739,1.0000639674130711,other
hopper01,H100,cublas-dist,524288,2048,1,8,512,1,1,1,1,0.0103170087,1.0004673401363244,other
hopper01,H100,cublas-dist,1048576,1024,1,8,512,1,1,1,1,0.0104268644,1.0001078004962813,other
hopper01,H100,cublas-dist,131072,8192,1,16,256,1,1,1,1,0.0102692123,1.000141033624438,other
hopper01,H100,cublas-dist,262144,4096,1,16,256,1,1,1,1,0.0103331434,1.0,other
hopper01,H100,cublas-dist,524288,2048,1,16,256,1,1,1,1,0.0104267413,1.0002906738189241,other
hopper01,H100,cublas-dist,1048576,1024,1,16,256,1,1,1,1,0.0105434048,1.0002667022472054,other
hopper01,H100,cublas-dist,131072,8192,1,32,256,1,1,1,1,0.0107728765,1.0003559833529867,other
hopper01,H100,cublas-dist,262144,4096,1,32,256,1,1,1,1,0.011008315000000001,1.0,other
hopper01,H100,cublas-dist,524288,2048,1,32,256,1,1,1,1,0.0112895822,1.000124377908917,other
hopper01,H100,cublas-dist,1048576,1024,1,32,256,1,1,1,1,0.0113130289,1.0000798346850068,other
hopper01,H100,cublas-dist,131072,8192,1,64,64,1,1,1,1,0.0118659444,1.0,other
hopper01,H100,cublas-dist,262144,4096,1,64,64,1,1,1,1,0.0122495827,1.0,other
hopper01,H100,cublas-dist,524288,2048,1,64,64,1,1,1,1,0.012979026699999998,1.0006166897678945,other
hopper01,H100,cublas-dist,1048576,1024,1,64,64,1,1,1,1,0.0131552071,1.0,other
hopper01,H100,cublas-dist,131072,8192,1,128,128,1,1,1,1,0.015882132299999997,1.0,other
hopper01,H100,cublas-dist,262144,4096,1,128,128,1,1,1,1,0.0161814186,1.0019945311870857,other
hopper01,H100,cublas-dist,524288,2048,1,128,128,1,1,1,1,0.0162082625,1.0,other
hopper01,H100,cublas-dist,1048576,1024,1,128,128,1,1,1,1,0.016429317399999997,1.0066277149480711,other
hopper01,H100,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0226571579,1.0,other
hopper01,H100,cublas-dist,262144,4096,1,256,64,1,1,1,1,0.0253169166,1.0,other
hopper01,H100,cublas-dist,524288,2048,1,256,64,1,1,1,1,0.0256585995,1.0,other
hopper01,H100,cublas-dist,1048576,1024,1,256,64,1,1,1,1,0.025818788199999998,1.0,other
hopper01,H100,magma-dist,131072,8192,1,4,256,1,1,1,1,0.0028026666000000003,1.0,other
hopper01,H100,magma-dist,262144,4096,1,4,256,1,1,1,1,0.0028032019,1.0,other
hopper01,H100,magma-dist,524288,2048,1,4,256,1,1,1,1,0.0028704311,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,4,256,1,1,1,1,0.0028865731,1.0,other
hopper01,H100,magma-dist,131072,8192,1,8,256,1,1,1,1,0.0030434766,1.0,other
hopper01,H100,magma-dist,262144,4096,1,8,256,1,1,1,1,0.0030226511,1.0,other
hopper01,H100,magma-dist,524288,2048,1,8,256,1,1,1,1,0.0031069903999999997,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,8,256,1,1,1,1,0.0031020911,1.0,other
hopper01,H100,magma-dist,131072,8192,1,16,256,1,1,1,1,0.0032415131999999998,1.0,other
hopper01,H100,magma-dist,262144,4096,1,16,256,1,1,1,1,0.0032620799999999997,1.0,other
hopper01,H100,magma-dist,524288,2048,1,16,256,1,1,1,1,0.0033530293,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,16,256,1,1,1,1,0.0033530263,1.0,other
hopper01,H100,magma-dist,131072,8192,1,32,256,1,1,1,1,0.0051991416,1.0,other
hopper01,H100,magma-dist,262144,4096,1,32,256,1,1,1,1,0.0052943052,1.0,other
hopper01,H100,magma-dist,524288,2048,1,32,256,1,1,1,1,0.0054537029,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,32,256,1,1,1,1,0.0054107699,1.0,other
hopper01,H100,magma-dist,131072,8192,1,64,256,1,1,1,1,0.0087975612,1.0,other
hopper01,H100,magma-dist,262144,4096,1,64,256,1,1,1,1,0.0089113987,1.0,other
hopper01,H100,magma-dist,524288,2048,1,64,256,1,1,1,1,0.009153856200000001,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,64,256,1,1,1,1,0.0091703713,1.0,other
hopper01,H100,magma-dist,131072,8192,1,128,256,1,1,1,1,0.016641056199999997,1.0,other
hopper01,H100,magma-dist,262144,4096,1,128,256,1,1,1,1,0.0166763818,1.0,other
hopper01,H100,magma-dist,524288,2048,1,128,256,1,1,1,1,0.0170011791,1.0,other
hopper01,H100,magma-dist,1048576,1024,1,128,256,1,1,1,1,0.0169457778,1.0,other
hopper01,H100,magma-dist,131072,8192,1,256,256,1,1,1,1,0.0324909022,1.0,other
hopper01,H100,magma-dist,262144,4096,1,256,256,1,1,1,1,0.0323665421,1.0,other
