hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
ampere01,L40,bits,524288,512,32,1,256,3,1,1,1,0.0013544967
ampere01,L40,bits,524288,512,64,1,256,3,1,1,1,0.0013561647
ampere01,L40,bits,524288,512,128,1,256,4,1,1,1,0.0013572644499999999
ampere01,L40,bits,524288,512,256,1,128,6,1,1,1,0.00136162
ampere01,L40,bits,524288,512,512,1,128,8,1,1,1,0.00136879815
ampere01,L40,bits,524288,512,1024,1,128,15,1,1,1,0.0014085024
ampere01,L40,bits,524288,512,2048,1,256,3,1,1,1,0.00145695305
ampere01,L40,bits,524288,1024,2,1,256,4,1,1,1,0.00263239235
ampere01,L40,bits,524288,1024,4,1,256,14,1,1,1,0.0026332434
ampere01,L40,bits,524288,1024,8,1,256,14,1,1,1,0.0026332113500000002
ampere01,L40,bits,524288,1024,16,1,256,13,1,1,1,0.0026342729
ampere01,L40,bits,524288,1024,32,1,256,3,1,1,1,0.0026334595999999997
ampere01,L40,bits,524288,1024,64,1,256,3,1,1,1,0.0026347034500000003
ampere01,L40,bits,524288,1024,128,1,256,4,1,1,1,0.0026358843
ampere01,L40,bits,524288,1024,256,1,128,2,1,1,1,0.0026402802999999997
ampere01,L40,bits,524288,1024,512,1,256,4,1,1,1,0.0026625634499999997
ampere01,L40,bits,524288,1024,1024,1,128,2,1,1,1,0.0026913409
ampere01,L40,bits,524288,1024,2048,1,256,3,1,1,1,0.00285381815
ampere01,L40,bits,524288,2048,2,1,256,4,1,1,1,0.0051696777
ampere01,L40,bits,524288,2048,4,1,256,4,1,1,1,0.00516893835
ampere01,L40,bits,524288,2048,8,1,256,4,1,1,1,0.0051694750499999996
ampere01,L40,bits,524288,2048,16,1,256,4,1,1,1,0.00517005735
ampere01,L40,bits,524288,2048,32,1,256,4,1,1,1,0.0051714405
ampere01,L40,bits,524288,2048,64,1,256,4,1,1,1,0.0051726359
ampere01,L40,bits,524288,2048,128,1,256,4,1,1,1,0.0051770155
ampere01,L40,bits,524288,2048,256,1,128,8,1,1,1,0.00518559315
ampere01,L40,bits,524288,2048,512,1,128,8,1,1,1,0.005213040800000001
ampere01,L40,bits,524288,2048,1024,1,512,6,1,1,1,0.0052922410000000005
ampere01,L40,bits,524288,2048,2048,1,512,5,1,1,1,0.005521278
ampere01,L40,bits,524288,4096,2,1,512,5,1,1,1,0.0102478049
ampere01,L40,bits,524288,4096,4,1,512,5,1,1,1,0.01024766955
ampere01,L40,bits,524288,4096,8,1,512,15,1,1,1,0.01024880745
ampere01,L40,bits,524288,4096,16,1,512,15,1,1,1,0.01025164175
ampere01,L40,bits,524288,4096,32,1,512,5,1,1,1,0.01025573325
ampere01,L40,bits,524288,4096,64,1,512,5,1,1,1,0.010259251399999999
ampere01,L40,bits,524288,4096,128,1,512,5,1,1,1,0.01026988175
ampere01,L40,bits,524288,4096,256,1,128,3,1,1,1,0.01027689975
ampere01,L40,bits,524288,4096,512,1,256,11,1,1,1,0.010326592649999999
ampere01,L40,bits,524288,4096,1024,1,512,9,1,1,1,0.01040857695
ampere01,L40,bits,524288,4096,2048,1,512,8,1,1,1,0.01075852215
ampere01,L40,bits,524288,8192,2,1,256,8,1,1,1,0.0203917442
ampere01,L40,bits,524288,8192,4,1,512,5,1,1,1,0.0203932384
ampere01,L40,bits,524288,8192,8,1,512,4,1,1,1,0.02039537885
ampere01,L40,bits,524288,8192,16,1,512,4,1,1,1,0.0203996247
ampere01,L40,bits,524288,8192,32,1,512,4,1,1,1,0.020407961250000002
ampere01,L40,bits,524288,8192,64,1,256,8,1,1,1,0.02041678885
ampere01,L40,bits,524288,8192,128,1,256,8,1,1,1,0.0204365904
ampere01,L40,bits,524288,8192,256,1,128,4,1,1,1,0.0204540444
ampere01,L40,bits,524288,8192,512,1,256,9,1,1,1,0.02053220605
ampere01,L40,bits,524288,8192,1024,1,512,3,1,1,1,0.0206678911
ampere01,L40,bits,524288,8192,2048,1,512,8,1,1,1,0.02126926585
ampere01,L40,bits-prefetch,524288,64,2,1,512,16,1,1,1,0.00020547135
