hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown
ampere01,L40,bits,524288,64,8,1,128,13,1,1,1,0.00029645125,1.4235548961894557
ampere01,L40,bits,524288,64,8,1,256,5,1,1,1,0.00029897375,1.435667907099809
ampere01,L40,bits,524288,64,8,1,128,12,1,1,1,0.00030065215,1.4437275612175244
ampere01,L40,bits,524288,64,8,1,128,11,1,1,1,0.00031922795,1.5329283017798803
ampere01,L40,bits,524288,64,8,1,512,2,1,1,1,0.0003246226,1.5588333381753363
ampere01,L40,bits,524288,64,8,1,128,10,1,1,1,0.00033250005,1.596660746617661
ampere01,L40,bits,524288,64,8,1,128,9,1,1,1,0.000345306,1.6581547454550998
ampere01,L40,bits,524288,64,8,1,256,4,1,1,1,0.00034604614999999997,1.661708935752542
ampere01,L40,bits,524288,64,8,1,128,8,1,1,1,0.00037220445,1.7873207388432446
ampere01,L40,bits,524288,64,8,1,128,7,1,1,1,0.00039770394999999995,1.9097689932371222
ampere01,L40,bits,524288,64,8,1,256,3,1,1,1,0.0004106628,1.9719972158082357
ampere01,L40,bits,524288,64,8,1,128,6,1,1,1,0.00042558835,2.0436695052009113
ampere01,L40,bits,524288,64,8,1,128,5,1,1,1,0.0005128813000000001,2.4628490714038587
ampere01,L40,bits,524288,64,8,1,512,1,1,1,1,0.0005219069,2.5061898806298193
ampere01,L40,bits,524288,64,8,1,256,2,1,1,1,0.00053707125,2.579008884395297
ampere01,L40,bits,524288,64,8,1,128,4,1,1,1,0.00059146815,2.840222063063048
ampere01,L40,bits,524288,64,8,1,128,3,1,1,1,0.0007195981500000001,3.455500591484686
ampere01,L40,bits,524288,64,8,1,256,1,1,1,1,0.0009419947999999999,4.523446299265079
ampere01,L40,bits,524288,64,8,1,128,2,1,1,1,0.0009661155500000001,4.639273814791704
ampere01,L40,bits,524288,64,8,1,128,1,1,1,1,0.0017654291999999999,8.47756715998274
ampere01,L40,bits,524288,64,16,1,512,16,1,1,1,0.0002121356,1.0
ampere01,L40,bits,524288,64,16,1,512,15,1,1,1,0.00021290720000000001,1.0036372961445417
ampere01,L40,bits,524288,64,16,1,512,14,1,1,1,0.00021456664999999997,1.0114598869779516
ampere01,L40,bits,524288,64,16,1,512,13,1,1,1,0.0002163253,1.019750103235855
ampere01,L40,bits,524288,64,16,1,512,11,1,1,1,0.00021814759999999998,1.0283403634279205
ampere01,L40,bits,524288,64,16,1,512,12,1,1,1,0.00021910904999999998,1.0328726060123807
ampere01,L40,bits,524288,64,16,1,512,10,1,1,1,0.0002203178,1.0385706123818916
ampere01,L40,bits,524288,64,16,1,512,9,1,1,1,0.0002220826,1.0468898195305267
ampere01,L40,bits,524288,64,16,1,512,8,1,1,1,0.00022385415,1.0552408459494775
ampere01,L40,bits,524288,64,16,1,256,16,1,1,1,0.00022619995,1.066298867328256
ampere01,L40,bits,524288,64,16,1,512,7,1,1,1,0.000227336,1.071654168371551
ampere01,L40,bits,524288,64,16,1,256,15,1,1,1,0.00022846725,1.076986842378177
ampere01,L40,bits,524288,64,16,1,256,14,1,1,1,0.00023191190000000002,1.0932248052660658
ampere01,L40,bits,524288,64,16,1,512,6,1,1,1,0.00023250325,1.0960124090440266
ampere01,L40,bits,524288,64,16,1,256,13,1,1,1,0.00023480325,1.106854530781255
ampere01,L40,bits,524288,64,16,1,256,12,1,1,1,0.00023820949999999998,1.1229114773757916
ampere01,L40,bits,524288,64,16,1,512,5,1,1,1,0.00024055365,1.133961720710715
ampere01,L40,bits,524288,64,16,1,256,11,1,1,1,0.00024178085000000002,1.1397466997524226
ampere01,L40,bits,524288,64,16,1,256,10,1,1,1,0.0002449808,1.1548311551667896
ampere01,L40,bits,524288,64,16,1,512,4,1,1,1,0.00025100535,1.1832306788676676
ampere01,L40,bits,524288,64,16,1,256,9,1,1,1,0.00025198224999999996,1.187835752226406
ampere01,L40,bits,524288,64,16,1,256,8,1,1,1,0.00025628805000000004,1.2081331469116925
ampere01,L40,bits,524288,64,16,1,256,7,1,1,1,0.0002663773,1.2556935281018367
ampere01,L40,bits,524288,64,16,1,512,3,1,1,1,0.0002753449,1.297966489358693
ampere01,L40,bits,524288,64,16,1,128,16,1,1,1,0.00027594015,1.3007724776039478
ampere01,L40,bits,524288,64,16,1,256,6,1,1,1,0.00027948415,1.3174787730112247
ampere01,L40,bits,524288,64,16,1,128,15,1,1,1,0.0002821872,1.3302208587337534
ampere01,L40,bits,524288,64,16,1,128,14,1,1,1,0.0002903703,1.3687957136850204
ampere01,L40,bits,524288,64,16,1,128,13,1,1,1,0.0002978236,1.403930316269405
ampere01,L40,bits,524288,64,16,1,256,5,1,1,1,0.00029957725,1.4121969626974444
