hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown
hopper01,H100,baseline-dist,524288,2048,1,32,128,1,1,1,1,0.0764217337,1.003534414774757
hopper01,H100,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.1481474062,1.0
hopper01,H100,baseline-dist,524288,2048,1,64,512,1,1,1,1,0.1482526657,1.0007105051833165
hopper01,H100,baseline-dist,524288,2048,1,64,64,1,1,1,1,0.1489497095,1.005415574397009
hopper01,H100,baseline-dist,524288,2048,1,64,128,1,1,1,1,0.1490031211,1.0057761045025977
hopper01,H100,baseline-dist,524288,2048,1,128,512,1,1,1,1,0.2911475764,1.0
hopper01,H100,baseline-dist,524288,2048,1,128,256,1,1,1,1,0.2911783073,1.0001055509387369
hopper01,H100,baseline-dist,524288,2048,1,128,64,1,1,1,1,0.2924994404,1.0046432260117553
hopper01,H100,baseline-dist,524288,2048,1,128,128,1,1,1,1,0.29261252190000003,1.0050316252606801
hopper01,H100,baseline-dist,524288,2048,1,256,512,1,1,1,1,0.5737432437,1.0
hopper01,H100,baseline-dist,524288,2048,1,256,256,1,1,1,1,0.5738858328,1.0002485242337331
hopper01,H100,baseline-dist,524288,2048,1,256,64,1,1,1,1,0.5751271628000001,1.002412087837541
hopper01,H100,baseline-dist,524288,2048,1,256,128,1,1,1,1,0.5753355921,1.0027753675838187
hopper01,H100,baseline-dist,1048576,1024,1,4,256,1,1,1,1,0.0060382086,1.0
hopper01,H100,baseline-dist,1048576,1024,1,4,128,1,1,1,1,0.0061163214,1.0129364195864317
hopper01,H100,baseline-dist,1048576,1024,1,4,512,1,1,1,1,0.0061437326,1.0174760441366666
hopper01,H100,baseline-dist,1048576,1024,1,4,64,1,1,1,1,0.011028099199999999,1.826385925123554
hopper01,H100,baseline-dist,1048576,1024,1,8,64,1,1,1,1,0.0128735995,1.0
hopper01,H100,baseline-dist,1048576,1024,1,8,128,1,1,1,1,0.0129117504,1.0029634990586744
hopper01,H100,baseline-dist,1048576,1024,1,8,256,1,1,1,1,0.013024179,1.011696767481387
hopper01,H100,baseline-dist,1048576,1024,1,8,512,1,1,1,1,0.0132928557,1.0325671308945101
hopper01,H100,baseline-dist,1048576,1024,1,16,64,1,1,1,1,0.0396532135,1.0
hopper01,H100,baseline-dist,1048576,1024,1,16,128,1,1,1,1,0.0397180473,1.0016350200722068
hopper01,H100,baseline-dist,1048576,1024,1,16,256,1,1,1,1,0.039743573,1.0022787434365186
hopper01,H100,baseline-dist,1048576,1024,1,16,512,1,1,1,1,0.0399701374,1.0079923888135827
hopper01,H100,baseline-dist,1048576,1024,1,32,256,1,1,1,1,0.0761584191,1.0
hopper01,H100,baseline-dist,1048576,1024,1,32,512,1,1,1,1,0.0762913542,1.0017455076086261
hopper01,H100,baseline-dist,1048576,1024,1,32,64,1,1,1,1,0.07636653079999998,1.0027326158087226
hopper01,H100,baseline-dist,1048576,1024,1,32,128,1,1,1,1,0.0764051808,1.0032401105868018
hopper01,H100,baseline-dist,1048576,1024,1,64,256,1,1,1,1,0.14844132599999998,1.0
hopper01,H100,baseline-dist,1048576,1024,1,64,512,1,1,1,1,0.1484974768,1.0003782693237329
hopper01,H100,baseline-dist,1048576,1024,1,64,64,1,1,1,1,0.1492709935,1.005589194884988
hopper01,H100,baseline-dist,1048576,1024,1,64,128,1,1,1,1,0.1493278116,1.0059719595875882
hopper01,H100,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.291089953,1.0
hopper01,H100,baseline-dist,1048576,1024,1,128,512,1,1,1,1,0.2911040424,1.0000484022201892
hopper01,H100,baseline-dist,1048576,1024,1,128,64,1,1,1,1,0.2926708506,1.0054309589998112
hopper01,H100,baseline-dist,1048576,1024,1,128,128,1,1,1,1,0.29277086809999997,1.0057745555374766
hopper01,H100,baseline-dist,1048576,1024,1,256,512,1,1,1,1,0.5739850299,1.0
hopper01,H100,baseline-dist,1048576,1024,1,256,256,1,1,1,1,0.5741320328999999,1.0002561094668716
hopper01,H100,baseline-dist,1048576,1024,1,256,64,1,1,1,1,0.5755480900000001,1.0027231722406984
hopper01,H100,baseline-dist,1048576,1024,1,256,128,1,1,1,1,0.5757219667,1.0030261012213204
hopper01,H100,cublas-dist,131072,8192,1,4,64,1,1,1,1,0.0100601289,1.0
hopper01,H100,cublas-dist,131072,8192,1,4,256,1,1,1,1,0.010060557000000001,1.000042554126717
hopper01,H100,cublas-dist,131072,8192,1,4,128,1,1,1,1,0.0100619179,1.0001778307234215
hopper01,H100,cublas-dist,131072,8192,1,4,512,1,1,1,1,0.0100619708,1.0001830891053494
hopper01,H100,cublas-dist,131072,8192,1,8,64,1,1,1,1,0.010098054700000001,1.0
hopper01,H100,cublas-dist,131072,8192,1,8,512,1,1,1,1,0.0101022653,1.0004169713994517
hopper01,H100,cublas-dist,131072,8192,1,8,256,1,1,1,1,0.0101032658,1.0005160498883017
hopper01,H100,cublas-dist,131072,8192,1,8,128,1,1,1,1,0.0101049422,1.0006820620609234
hopper01,H100,cublas-dist,131072,8192,1,16,128,1,1,1,1,0.0102677642,1.0
hopper01,H100,cublas-dist,131072,8192,1,16,64,1,1,1,1,0.0102688129,1.0001021351853796
hopper01,H100,cublas-dist,131072,8192,1,16,256,1,1,1,1,0.0102692123,1.000141033624438
hopper01,H100,cublas-dist,131072,8192,1,16,512,1,1,1,1,0.010270266,1.000243655770747
hopper01,H100,cublas-dist,131072,8192,1,32,512,1,1,1,1,0.010769042900000001,1.0
hopper01,H100,cublas-dist,131072,8192,1,32,256,1,1,1,1,0.0107728765,1.0003559833529867
hopper01,H100,cublas-dist,131072,8192,1,32,128,1,1,1,1,0.010777621900000001,1.0007966353258746
hopper01,H100,cublas-dist,131072,8192,1,32,64,1,1,1,1,0.0107802519,1.0010408538719813
hopper01,H100,cublas-dist,131072,8192,1,64,64,1,1,1,1,0.0118659444,1.0
hopper01,H100,cublas-dist,131072,8192,1,64,256,1,1,1,1,0.0118684,1.0002069451800228
hopper01,H100,cublas-dist,131072,8192,1,64,128,1,1,1,1,0.0118716602,1.0004816978579472
hopper01,H100,cublas-dist,131072,8192,1,64,512,1,1,1,1,0.011890967499999999,1.0021088165557221
hopper01,H100,cublas-dist,131072,8192,1,128,128,1,1,1,1,0.015882132299999997,1.0
hopper01,H100,cublas-dist,131072,8192,1,128,512,1,1,1,1,0.016021273,1.008760832448172
hopper01,H100,cublas-dist,131072,8192,1,128,256,1,1,1,1,0.0160317502,1.0094205171682145
hopper01,H100,cublas-dist,131072,8192,1,128,64,1,1,1,1,0.016106345799999998,1.0141173424175545
hopper01,H100,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0226571579,1.0
hopper01,H100,cublas-dist,131072,8192,1,256,256,1,1,1,1,0.0227090743,1.0022913906602557
hopper01,H100,cublas-dist,131072,8192,1,256,512,1,1,1,1,0.0227251126,1.0029992596732533
hopper01,H100,cublas-dist,131072,8192,1,256,128,1,1,1,1,0.022749009,1.0040539550637992
hopper01,H100,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.0101205015,1.0
hopper01,H100,cublas-dist,262144,4096,1,4,64,1,1,1,1,0.0101220641,1.000154399463307
hopper01,H100,cublas-dist,262144,4096,1,4,128,1,1,1,1,0.010122549599999999,1.0002023713943424
hopper01,H100,cublas-dist,262144,4096,1,4,256,1,1,1,1,0.0101229342,1.0002403734637062
hopper01,H100,cublas-dist,262144,4096,1,8,128,1,1,1,1,0.0101614239,1.0
hopper01,H100,cublas-dist,262144,4096,1,8,512,1,1,1,1,0.0101620739,1.0000639674130711
hopper01,H100,cublas-dist,262144,4096,1,8,256,1,1,1,1,0.0101636842,1.000222439298099
hopper01,H100,cublas-dist,262144,4096,1,8,64,1,1,1,1,0.0101639067,1.0002443358356499
hopper01,H100,cublas-dist,262144,4096,1,16,256,1,1,1,1,0.0103331434,1.0
hopper01,H100,cublas-dist,262144,4096,1,16,64,1,1,1,1,0.010334151199999999,1.0000975308249376
hopper01,H100,cublas-dist,262144,4096,1,16,512,1,1,1,1,0.0103357025,1.0002476593908491
hopper01,H100,cublas-dist,262144,4096,1,16,128,1,1,1,1,0.0103363242,1.0003078250128612
hopper01,H100,cublas-dist,262144,4096,1,32,256,1,1,1,1,0.011008315000000001,1.0
hopper01,H100,cublas-dist,262144,4096,1,32,64,1,1,1,1,0.0110087013,1.0000350916557166
hopper01,H100,cublas-dist,262144,4096,1,32,128,1,1,1,1,0.0110094357,1.0001018048629604
hopper01,H100,cublas-dist,262144,4096,1,32,512,1,1,1,1,0.011012645599999999,1.000393393539338
hopper01,H100,cublas-dist,262144,4096,1,64,64,1,1,1,1,0.0122495827,1.0
hopper01,H100,cublas-dist,262144,4096,1,64,512,1,1,1,1,0.012254519,1.0004029769928406
hopper01,H100,cublas-dist,262144,4096,1,64,128,1,1,1,1,0.0122624534,1.0010507051803486
hopper01,H100,cublas-dist,262144,4096,1,64,256,1,1,1,1,0.0122678044,1.001487536387668
hopper01,H100,cublas-dist,262144,4096,1,128,64,1,1,1,1,0.0161492085,1.0
hopper01,H100,cublas-dist,262144,4096,1,128,128,1,1,1,1,0.0161814186,1.0019945311870857
hopper01,H100,cublas-dist,262144,4096,1,128,256,1,1,1,1,0.016232632599999998,1.005165832121122
hopper01,H100,cublas-dist,262144,4096,1,128,512,1,1,1,1,0.016244507,1.0059011251232528
hopper01,H100,cublas-dist,262144,4096,1,256,64,1,1,1,1,0.0253169166,1.0
hopper01,H100,cublas-dist,262144,4096,1,256,128,1,1,1,1,0.0253446392,1.001095022764344
hopper01,H100,cublas-dist,262144,4096,1,256,512,1,1,1,1,0.0253461493,1.001154670628413
hopper01,H100,cublas-dist,262144,4096,1,256,256,1,1,1,1,0.0253589911,1.0016619124937196
hopper01,H100,cublas-dist,524288,2048,1,4,256,1,1,1,1,0.01029347,1.0
hopper01,H100,cublas-dist,524288,2048,1,4,128,1,1,1,1,0.0102937673,1.0000288823885433
hopper01,H100,cublas-dist,524288,2048,1,4,64,1,1,1,1,0.010293857600000001,1.0000376549404624
hopper01,H100,cublas-dist,524288,2048,1,4,512,1,1,1,1,0.0102948,1.0001292081290372
hopper01,H100,cublas-dist,524288,2048,1,8,64,1,1,1,1,0.0103121894,1.0
hopper01,H100,cublas-dist,524288,2048,1,8,128,1,1,1,1,0.0103130488,1.0000833382676235
hopper01,H100,cublas-dist,524288,2048,1,8,256,1,1,1,1,0.0103139252,1.0001683250697473
hopper01,H100,cublas-dist,524288,2048,1,8,512,1,1,1,1,0.0103170087,1.0004673401363244
hopper01,H100,cublas-dist,524288,2048,1,16,64,1,1,1,1,0.0104237114,1.0
hopper01,H100,cublas-dist,524288,2048,1,16,512,1,1,1,1,0.0104243851,1.000064631490085
hopper01,H100,cublas-dist,524288,2048,1,16,128,1,1,1,1,0.0104261411,1.0002330935601305
hopper01,H100,cublas-dist,524288,2048,1,16,256,1,1,1,1,0.0104267413,1.0002906738189241
hopper01,H100,cublas-dist,524288,2048,1,32,64,1,1,1,1,0.0112881782,1.0
hopper01,H100,cublas-dist,524288,2048,1,32,512,1,1,1,1,0.0112895723,1.0001235008852003
hopper01,H100,cublas-dist,524288,2048,1,32,256,1,1,1,1,0.0112895822,1.000124377908917
hopper01,H100,cublas-dist,524288,2048,1,32,128,1,1,1,1,0.011294036,1.0005189322755377
hopper01,H100,cublas-dist,524288,2048,1,64,256,1,1,1,1,0.0129710276,1.0
hopper01,H100,cublas-dist,524288,2048,1,64,64,1,1,1,1,0.012979026699999998,1.0006166897678945
hopper01,H100,cublas-dist,524288,2048,1,64,128,1,1,1,1,0.0129812492,1.0007880331701706
hopper01,H100,cublas-dist,524288,2048,1,64,512,1,1,1,1,0.0130284808,1.0044293483732931
hopper01,H100,cublas-dist,524288,2048,1,128,128,1,1,1,1,0.0162082625,1.0
hopper01,H100,cublas-dist,524288,2048,1,128,256,1,1,1,1,0.0162128023,1.000280091712483
hopper01,H100,cublas-dist,524288,2048,1,128,512,1,1,1,1,0.01621986,1.0007155301192832
hopper01,H100,cublas-dist,524288,2048,1,128,64,1,1,1,1,0.0163361341,1.0078892848631986
hopper01,H100,cublas-dist,524288,2048,1,256,64,1,1,1,1,0.0256585995,1.0
hopper01,H100,cublas-dist,524288,2048,1,256,512,1,1,1,1,0.0257223001,1.0024826218593887
